City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
311,Broome,US,75.88,broken clouds,42.2506,-75.833,Chenango Valley State Park
312,Farafenni,GM,77.13,scattered clouds,13.5667,-15.6,Eddy's Hotel
314,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,Ikathouse
316,High Level,CA,84.31,few clouds,58.5169,-117.136,Days Inn by Wyndham High Level
317,Himeji,JP,88.61,scattered clouds,34.8167,134.7,Hotel Nikko Himeji
318,Cockburn Town,TC,81.23,clear sky,21.4612,-71.1419,Osprey Beach Hotel
321,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
322,Keti Bandar,PK,82.31,overcast clouds,24.1447,67.4497,Haji laloo memon house
324,Kandrian,PG,85.8,scattered clouds,-6.2167,149.55,Kandrian Station
326,Brigantine,US,76.05,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
332,San Ramon,US,84.33,clear sky,37.7799,-121.978,San Ramon Marriott
333,Quincy,US,75.25,broken clouds,42.2529,-71.0023,Marriott Boston Quincy
335,Aklera,IN,77.88,overcast clouds,24.4167,76.5667,"hotel sangam palace - Best Ac Hotels, Budget Hotels, Top Hotels"
336,Bay City,US,77.32,scattered clouds,43.5945,-83.8889,DoubleTree by Hilton Hotel Bay City - Riverfront
339,Taxisco,GT,75.49,overcast clouds,14.0708,-90.4631,HOSTAL LAS MARIAS
340,Bethel,US,76.17,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
344,Bhindar,IN,77.25,overcast clouds,24.5,74.1833,Hotel Rajmahal Bhindar
351,Pemangkat,ID,81.72,broken clouds,1.1667,108.9667,Ramah Kost KITA
355,Boa Vista,BR,76.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
365,Cayenne,GF,76.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
370,Katobu,ID,83.48,few clouds,-4.9408,122.5276,La Ode Husein
372,Nea Kallikratia,GR,83.86,clear sky,40.3167,23.0667,Aegean Blue Ξενοδοχείο
374,Koutsouras,GR,80.11,clear sky,35.0339,25.9469,The White Houses
376,Nuevo Progreso,MX,83.53,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
379,Lucea,JM,82.26,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
380,Kijang,KR,82.13,overcast clouds,35.2442,129.2139,Samyang Beach Villa
383,Coos Bay,US,75.31,overcast clouds,43.3665,-124.2179,Best Western Holiday Hotel
385,Manzil Kamil,TN,81.84,few clouds,35.6248,10.6673,Boukarra Ali
387,Tateyama,JP,84.13,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
388,Nouadhibou,MR,75.18,clear sky,20.931,-17.0347,El Medina
389,Esperantina,BR,76.95,overcast clouds,-3.9017,-42.2336,Hotel Bela Vista
391,Kushima,JP,86.85,few clouds,31.4583,131.2333,Hanaoka
396,Luganville,VU,82.27,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
397,Conakry,GN,76.05,light rain,9.538,-13.6773,Riviera Royal Hotel
401,Erenhot,CN,81.59,few clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
403,Lensk,RU,86.45,clear sky,60.7253,114.9278,ТинОрС
407,Namtsy,RU,87.66,clear sky,62.7161,129.6658,"""Эңсиэли Киин"""
410,Qinzhou,CN,88.83,broken clouds,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
411,Harper,LR,75.22,overcast clouds,4.375,-7.7169,Screensaver
412,Banda Aceh,ID,80.6,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
414,Kawalu,ID,79.2,overcast clouds,-7.3817,108.2082,West Jontor
416,Kuri,KR,89.28,scattered clouds,37.5986,127.1394,U&I HOTEL in Guri
424,Ambulu,ID,81.1,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
427,Acarau,BR,79.07,overcast clouds,-2.8856,-40.12,castelo pizzaria
429,Trairi,BR,78.49,overcast clouds,-3.2778,-39.2689,janelas do mar
430,Abnub,EG,79.02,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
431,Naze,JP,83.32,broken clouds,28.3667,129.4833,Shishime Hotel
432,Karachi,PK,78.62,mist,24.9056,67.0822,Sadaat
434,Amga,RU,85.84,clear sky,60.8953,131.9608,Algys
435,Rincon,US,84.85,scattered clouds,32.296,-81.2354,Days Inn Rincon
438,Fort Nelson,CA,80.19,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
442,Tuy Hoa,VN,86.94,few clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
443,Murgab,TM,76.87,clear sky,37.4966,61.9714,Wepa Nurlyýew
446,Safaga,EG,86.14,overcast clouds,26.7292,33.9365,Lamar Resort Abu Soma
447,Dwarka,IN,81.88,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
448,Wyndham,US,78.94,overcast clouds,37.6985,-77.6125,Hilton Richmond Hotel & Spa/Short Pump
450,Saint Anthony,US,75.13,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
451,San Jose,US,84.58,smoke,37.3394,-121.895,The Westin San Jose
452,Sijunjung,ID,76.12,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
454,Garden City,US,79.05,scattered clouds,42.3256,-83.331,Big Trees Mobile Home Community
470,Dossor,KZ,80.44,scattered clouds,47.5272,52.9811,"Gostinitsa Orpk ""Nauryz"""
472,Bengkulu,ID,81.18,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
479,Chernyshevskiy,RU,82.89,clear sky,63.0128,112.4714,Chernyseyskiy
482,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
488,Porlamar,VE,89.69,overcast clouds,10.958,-63.8491,Hotel Bella Vista
493,Houston,US,89.11,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
495,Balabac,PH,85.14,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
496,Bilma,NE,83.79,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
498,Teahupoo,PF,78.76,light rain,-17.8333,-149.2667,Vanira Lodge
499,Kankon,IN,76.8,moderate rain,15.0167,74.0167,Palolem Beach Resort
